epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,93.8232,0.62413,1.17979,1.73257,0.99302,0.10819,0.76316,0.41418,0.34605,0.11103,0.77193,0.42789,0.32141,0.68504,1.61238,2.9379,0.97933,0.000178293,0.000178293,0.000178293
30,96.8781,0.65517,1.24585,1.78432,0.97286,0.10819,0.76316,0.41418,0.34605,0.11103,0.77193,0.42789,0.32141,0.68504,1.61238,2.9379,0.97933,0.000176456,0.000176456,0.000176456
31,99.9256,0.65625,1.17881,1.87273,0.96867,0.11181,0.77193,0.47074,0.39274,0.10893,0.76316,0.46682,0.36273,0.70832,1.67126,2.91753,0.98697,0.000174052,0.000174052,0.000174052
32,103.146,0.61237,1.37922,1.74188,0.94704,0.11181,0.77193,0.47074,0.39274,0.10893,0.76316,0.46682,0.36273,0.70832,1.67126,2.91753,0.98697,0.000171083,0.000171083,0.000171083
33,106.449,0.76712,1.31163,2.04749,0.98546,0.11279,0.77193,0.49552,0.41795,0.11279,0.77193,0.49552,0.39475,0.69641,1.59131,2.89582,0.974,0.000167547,0.000167547,0.000167547
34,109.662,0.65367,1.18756,1.58338,0.98486,0.11279,0.77193,0.49552,0.41795,0.11279,0.77193,0.49552,0.39475,0.69641,1.59131,2.89582,0.974,0.000163446,0.000163446,0.000163446
35,112.933,0.70882,1.30179,1.84448,0.94284,0.11522,0.78947,0.51553,0.44255,0.11522,0.78947,0.51553,0.42279,0.67837,1.54865,2.86503,0.9649,0.000158779,0.000158779,0.000158779
36,116.02,0.63928,1.3019,1.60939,0.90673,0.11522,0.78947,0.51553,0.44255,0.11522,0.78947,0.51553,0.42279,0.67837,1.54865,2.86503,0.9649,0.000153546,0.000153546,0.000153546
37,118.812,0.60714,1.35895,1.67091,0.99172,0.12493,0.81579,0.53344,0.4753,0.12493,0.81579,0.53692,0.45287,0.66465,1.55157,2.82647,0.96208,0.000147747,0.000147747,0.000147747
38,122.011,0.67846,1.18667,1.60972,0.95515,0.12493,0.81579,0.53344,0.4753,0.12493,0.81579,0.53692,0.45287,0.66465,1.55157,2.82647,0.96208,0.000141382,0.000141382,0.000141382
39,124.868,0.56921,0.96986,1.27911,0.93778,0.43583,0.79825,0.56026,0.50435,0.42665,0.78947,0.55901,0.48036,0.65925,1.57372,2.78164,0.96208,0.000134452,0.000134452,0.000134452
40,127.881,0.61073,1.09742,1.56658,0.97928,0.43583,0.79825,0.56026,0.50435,0.42665,0.78947,0.55901,0.48036,0.65925,1.57372,2.78164,0.96208,0.000126955,0.000126955,0.000126955
41,130.97,0.57382,1.08704,1.18276,0.88863,0.51361,0.72011,0.5721,0.52111,0.51361,0.72011,0.5721,0.49945,0.65029,1.5172,2.73361,0.95478,0.000118893,0.000118893,0.000118893
42,133.961,0.70491,1.09269,1.14398,1.00543,0.51361,0.72011,0.5721,0.52111,0.51361,0.72011,0.5721,0.49945,0.65029,1.5172,2.73361,0.95478,0.000110264,0.000110264,0.000110264
43,136.874,0.6045,1.06443,1.20201,0.92087,0.52389,0.69298,0.58539,0.53441,0.52389,0.69298,0.58539,0.52245,0.64667,1.48041,2.69185,0.95132,0.00010107,0.00010107,0.00010107
44,139.668,0.58518,1.05436,1.11853,0.97162,0.52389,0.69298,0.58539,0.53441,0.52389,0.69298,0.58539,0.52245,0.64667,1.48041,2.69185,0.95132,9.13102e-05,9.13102e-05,9.13102e-05
45,142.521,0.61996,1.00465,1.10777,0.99659,0.54148,0.65053,0.61202,0.57363,0.54148,0.65053,0.61202,0.5477,0.65227,1.46831,2.65925,0.95229,8.09843e-05,8.09843e-05,8.09843e-05
46,145.294,0.62744,1.11289,1.31136,1.03423,0.54148,0.65053,0.61202,0.57363,0.54148,0.65053,0.61202,0.5477,0.65227,1.46831,2.65925,0.95229,7.00924e-05,7.00924e-05,7.00924e-05
47,148.252,0.54835,1.04898,1.21697,0.9066,0.55919,0.69991,0.6206,0.56899,0.55919,0.69991,0.6206,0.55819,0.65543,1.5038,2.62892,0.95445,5.86347e-05,5.86347e-05,5.86347e-05
48,151.048,0.598,1.08373,1.189,0.9596,0.55919,0.69991,0.6206,0.56899,0.55919,0.69991,0.6206,0.55819,0.65543,1.5038,2.62892,0.95445,4.66111e-05,4.66111e-05,4.66111e-05
49,153.893,0.50192,0.99294,1.18572,0.90413,0.54555,0.70389,0.64374,0.59067,0.56756,0.6444,0.63808,0.56723,0.6494,1.53406,2.59495,0.95052,3.40216e-05,3.40216e-05,3.40216e-05
50,156.665,0.72548,1.36613,1.23486,1.00223,0.54555,0.70389,0.64374,0.59067,0.56756,0.6444,0.63808,0.56723,0.6494,1.53406,2.59495,0.95052,2.08663e-05,2.08663e-05,2.08663e-05
