epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,575.57,0.75195,1.23599,0.93842,0.98097,0.80098,0.78372,0.83276,0.71734,0.80262,0.7855,0.82744,0.68289,0.71883,1.47096,0.99863,0.98801,0.0011884,0.0011884,0.0011884
31,594.165,0.68161,1.01559,0.96674,0.99266,0.80567,0.75477,0.82261,0.69637,0.79897,0.74808,0.8085,0.65843,0.73438,1.37928,1.01409,0.98916,0.0011719,0.0011719,0.0011719
32,613.708,0.72988,1.14601,0.94777,0.97798,0.80567,0.75477,0.82261,0.69637,0.79897,0.74808,0.8085,0.65843,0.73438,1.37928,1.01409,0.98916,0.0011554,0.0011554,0.0011554
33,632.851,0.71496,1.12645,1.01491,0.99088,0.81047,0.7484,0.81221,0.69627,0.81263,0.75018,0.80478,0.64504,0.71701,1.42686,1.02102,0.97726,0.00113889,0.00113889,0.00113889
34,651.77,0.6846,1.07452,0.9571,0.9676,0.81047,0.7484,0.81221,0.69627,0.81263,0.75018,0.80478,0.64504,0.71701,1.42686,1.02102,0.97726,0.00112239,0.00112239,0.00112239
35,670.775,0.65534,1.03763,0.91542,0.97031,0.84384,0.7405,0.82087,0.71399,0.83927,0.73694,0.80309,0.66286,0.72794,1.46584,1.05172,0.98147,0.00110589,0.00110589,0.00110589
36,690.125,0.68788,1.12848,0.92744,0.94977,0.84384,0.7405,0.82087,0.71399,0.83927,0.73694,0.80309,0.66286,0.72794,1.46584,1.05172,0.98147,0.00108938,0.00108938,0.00108938
37,708.933,0.64746,1.01698,0.87379,0.95946,0.82006,0.76714,0.83906,0.7401,0.80094,0.74903,0.81364,0.67509,0.67042,1.50076,1.00042,0.9523,0.00107288,0.00107288,0.00107288
38,728.178,0.68218,1.02453,0.89017,0.948,0.82006,0.76714,0.83906,0.7401,0.80094,0.74903,0.81364,0.67509,0.67042,1.50076,1.00042,0.9523,0.00105638,0.00105638,0.00105638
39,746.629,0.65821,1.02223,0.85528,0.96143,0.87011,0.75949,0.87326,0.77745,0.81757,0.79912,0.85837,0.74158,0.61176,1.11558,0.87102,0.91584,0.00103987,0.00103987,0.00103987
