epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4650.35,0.53591,0.79577,0.63606,0.88377,0.76282,0.8578,0.87546,0.81065,0.76248,0.86118,0.87494,0.78314,0.46086,0.8371,0.75158,0.86492,0.00120491,0.00120491,0.00120491
30,4803.85,0.53588,0.79898,0.64571,0.88591,0.81303,0.85389,0.88993,0.83092,0.81393,0.85519,0.88994,0.81121,0.45749,0.77721,0.67234,0.85855,0.0011884,0.0011884,0.0011884
31,4955.55,0.50544,0.77022,0.61433,0.88055,0.82068,0.86661,0.9042,0.83627,0.82007,0.86693,0.90302,0.81073,0.45703,0.83346,0.6385,0.86515,0.0011719,0.0011719,0.0011719
32,5107.56,0.52707,0.8023,0.63537,0.88372,0.85942,0.82352,0.89722,0.82146,0.86087,0.82338,0.89584,0.81794,0.48622,0.79572,0.6295,0.86939,0.0011554,0.0011554,0.0011554
33,5259.64,0.5226,0.78267,0.61052,0.8776,0.81164,0.8544,0.88388,0.82193,0.80919,0.85221,0.88023,0.79557,0.45212,0.84054,0.69155,0.86161,0.00113889,0.00113889,0.00113889
34,5412.81,0.51714,0.76108,0.60507,0.87759,0.82648,0.82751,0.88774,0.82357,0.82158,0.8374,0.88633,0.79347,0.45162,0.76142,0.71797,0.85903,0.00112239,0.00112239,0.00112239
35,5566.73,0.5228,0.795,0.60691,0.87862,0.81939,0.82527,0.87566,0.81294,0.82178,0.82483,0.87412,0.78533,0.45338,0.84322,0.74195,0.85824,0.00110589,0.00110589,0.00110589
36,5718.6,0.49378,0.71538,0.58932,0.87802,0.85707,0.83821,0.89351,0.83303,0.85669,0.83932,0.89208,0.80575,0.44587,0.76178,0.65252,0.86195,0.00108938,0.00108938,0.00108938
37,5871.09,0.52228,0.789,0.58866,0.87859,0.82219,0.83857,0.87467,0.81941,0.82077,0.83653,0.87063,0.7914,0.43573,0.79967,0.70669,0.85868,0.00107288,0.00107288,0.00107288
38,6027.16,0.51142,0.7461,0.5926,0.87783,0.8151,0.79725,0.88433,0.82052,0.81483,0.79692,0.88338,0.79003,0.43878,0.76639,0.69277,0.85958,0.00105638,0.00105638,0.00105638
39,6179.23,0.49761,0.77153,0.59512,0.87728,0.84165,0.83297,0.88978,0.82702,0.8413,0.83265,0.88728,0.79378,0.44658,0.77666,0.66528,0.86088,0.00103987,0.00103987,0.00103987
40,6330.48,0.49656,0.75217,0.57485,0.87761,0.81188,0.8602,0.89912,0.83999,0.81275,0.85728,0.89868,0.80352,0.43245,0.79997,0.6432,0.85952,0.00102337,0.00102337,0.00102337
41,6483.68,0.51452,0.74575,0.58473,0.87558,0.83101,0.84885,0.88993,0.83203,0.82254,0.8597,0.88767,0.80642,0.42697,0.77729,0.64129,0.85783,0.00100687,0.00100687,0.00100687
42,6637.01,0.49935,0.77426,0.57188,0.8744,0.79674,0.85906,0.87723,0.82208,0.79599,0.86016,0.87639,0.78784,0.42672,0.77795,0.68735,0.85453,0.000990365,0.000990365,0.000990365
43,6788.03,0.47815,0.7336,0.57643,0.86884,0.83991,0.83502,0.8945,0.83537,0.84093,0.83599,0.89336,0.80728,0.43625,0.73036,0.65112,0.85416,0.000973861,0.000973861,0.000973861
44,6943.09,0.49948,0.74564,0.56555,0.87124,0.83511,0.83288,0.8955,0.83843,0.83473,0.83256,0.89344,0.81376,0.41622,0.75248,0.61837,0.8472,0.000957358,0.000957358,0.000957358
45,7099.39,0.50083,0.75773,0.55749,0.87381,0.82605,0.84566,0.87874,0.8239,0.82678,0.84631,0.87735,0.80194,0.41725,0.7888,0.6565,0.8496,0.000940855,0.000940855,0.000940855
46,7252.59,0.49818,0.72723,0.57258,0.87098,0.87547,0.83041,0.90455,0.84231,0.87254,0.83276,0.9036,0.81778,0.43546,0.80878,0.61365,0.85543,0.000924352,0.000924352,0.000924352
47,7408.3,0.51409,0.74354,0.54913,0.87052,0.85692,0.83681,0.898,0.83662,0.85653,0.83681,0.89641,0.80528,0.44504,0.75558,0.60528,0.85625,0.000907848,0.000907848,0.000907848
48,7560.58,0.49675,0.73364,0.56374,0.86842,0.81463,0.84296,0.88262,0.82222,0.81546,0.84411,0.88181,0.79445,0.44465,0.81601,0.66784,0.86354,0.000891345,0.000891345,0.000891345
49,7715.51,0.51616,0.76516,0.5561,0.86913,0.81369,0.87062,0.88158,0.8231,0.81399,0.87094,0.88025,0.8024,0.42875,0.71013,0.64379,0.85257,0.000874842,0.000874842,0.000874842
50,7870.21,0.49507,0.71424,0.54362,0.86779,0.82066,0.85545,0.88084,0.82556,0.82212,0.85446,0.87844,0.80058,0.42569,0.72265,0.65667,0.85083,0.000858338,0.000858338,0.000858338
51,8026.57,0.50294,0.74318,0.5377,0.86841,0.83712,0.84884,0.88753,0.82815,0.83033,0.85571,0.88634,0.81534,0.4291,0.76446,0.64855,0.85082,0.000841835,0.000841835,0.000841835
52,8178.12,0.48539,0.6994,0.55056,0.86945,0.83551,0.85971,0.90026,0.84478,0.83515,0.8583,0.89808,0.82077,0.41665,0.74168,0.60751,0.85124,0.000825332,0.000825332,0.000825332
53,8333.57,0.48362,0.688,0.52818,0.86767,0.8501,0.83891,0.90378,0.84235,0.84772,0.84147,0.9028,0.8189,0.42512,0.73567,0.62602,0.85526,0.000808828,0.000808828,0.000808828
54,8485.93,0.47455,0.69459,0.53305,0.86595,0.82154,0.85807,0.88632,0.8314,0.82413,0.84887,0.88472,0.80429,0.4274,0.73673,0.63767,0.85269,0.000792325,0.000792325,0.000792325
55,8636.82,0.47591,0.68781,0.54328,0.86908,0.8217,0.86499,0.90168,0.84241,0.82208,0.85978,0.89945,0.81743,0.42448,0.74187,0.62043,0.85056,0.000775822,0.000775822,0.000775822
56,8786.68,0.47501,0.69197,0.52843,0.86285,0.80958,0.86398,0.90174,0.84202,0.81044,0.86066,0.90013,0.81547,0.4288,0.76766,0.62989,0.85743,0.000759318,0.000759318,0.000759318
57,8943.41,0.48069,0.72148,0.5239,0.86276,0.82741,0.85804,0.88904,0.83644,0.82741,0.85804,0.8876,0.80388,0.41463,0.75779,0.63828,0.85167,0.000742815,0.000742815,0.000742815
58,9095.37,0.46622,0.6688,0.5104,0.8619,0.82543,0.85784,0.89209,0.83734,0.8255,0.85863,0.89048,0.81104,0.41643,0.70755,0.61142,0.85399,0.000726312,0.000726312,0.000726312
59,9246.92,0.46187,0.66192,0.51624,0.86253,0.84949,0.84893,0.89811,0.84274,0.8485,0.84796,0.89604,0.81864,0.41431,0.72415,0.5839,0.8543,0.000709809,0.000709809,0.000709809
60,9400.02,0.47187,0.68114,0.51641,0.86897,0.86809,0.84195,0.90959,0.85292,0.8716,0.83929,0.90786,0.82555,0.41767,0.72478,0.58117,0.8502,0.000693305,0.000693305,0.000693305
61,9554.55,0.47217,0.68349,0.50504,0.86551,0.83727,0.86486,0.89363,0.84043,0.83904,0.86537,0.89274,0.82255,0.4156,0.74882,0.59176,0.85295,0.000676802,0.000676802,0.000676802
62,9704.69,0.45169,0.65813,0.5212,0.86213,0.85911,0.82443,0.8782,0.82485,0.85942,0.82475,0.87731,0.80007,0.40636,0.72185,0.62081,0.84732,0.000660299,0.000660299,0.000660299
63,9857.29,0.44447,0.65343,0.49968,0.85865,0.84946,0.84021,0.89198,0.83837,0.85036,0.84223,0.89062,0.8126,0.40425,0.73189,0.58279,0.84998,0.000643795,0.000643795,0.000643795
64,10008.4,0.45671,0.66617,0.50474,0.85979,0.83089,0.85467,0.88905,0.83868,0.83306,0.85554,0.88917,0.81326,0.40084,0.75173,0.62038,0.84761,0.000627292,0.000627292,0.000627292
65,10162.2,0.47174,0.67859,0.50238,0.86143,0.83502,0.8592,0.89454,0.83519,0.83473,0.85967,0.89229,0.81317,0.41349,0.69986,0.59155,0.8519,0.000610789,0.000610789,0.000610789
66,10314.4,0.4504,0.64928,0.48598,0.85979,0.83611,0.86729,0.90183,0.84969,0.8373,0.86818,0.90079,0.82244,0.3993,0.69423,0.56721,0.85134,0.000594286,0.000594286,0.000594286
67,10469,0.46934,0.6942,0.5023,0.863,0.81771,0.87768,0.90917,0.85277,0.81947,0.87878,0.909,0.82923,0.40798,0.77259,0.58263,0.8538,0.000577782,0.000577782,0.000577782
68,10621.6,0.45155,0.63846,0.47965,0.8576,0.85047,0.85546,0.91254,0.85597,0.85503,0.85336,0.91183,0.83235,0.40383,0.68655,0.59335,0.8517,0.000561279,0.000561279,0.000561279
69,10772.9,0.45753,0.66347,0.49,0.85929,0.83391,0.87788,0.90699,0.85083,0.83407,0.87729,0.90594,0.82422,0.41407,0.71409,0.58805,0.85274,0.000544776,0.000544776,0.000544776
70,10924.1,0.45415,0.65266,0.48047,0.85874,0.84388,0.86216,0.89954,0.85079,0.84356,0.86183,0.89854,0.82989,0.40086,0.7013,0.58674,0.84755,0.000528272,0.000528272,0.000528272
71,11081.5,0.46254,0.65868,0.48227,0.85798,0.85946,0.83937,0.90254,0.8517,0.85946,0.83937,0.90075,0.83171,0.39941,0.6788,0.57743,0.84795,0.000511769,0.000511769,0.000511769
