epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95297,0.75702,1.94021,3.304,1.11178,0.0494,0.63158,0.10234,0.07515,0.0443,0.61404,0.09753,0.07636,0.55787,1.5748,3.29037,0.98307,0,0,0
2,5.74953,0.8885,2.50381,3.13007,1.27892,0.05214,0.64035,0.14969,0.10717,0.04957,0.63158,0.1458,0.1099,0.54515,1.58116,3.28341,0.97436,1.6505e-05,1.6505e-05,1.6505e-05
3,8.7033,0.88405,2.39565,3.31803,1.18831,0.05142,0.64035,0.15996,0.1223,0.04891,0.63158,0.15693,0.12491,0.52662,1.57299,3.27285,0.96131,3.26799e-05,3.26799e-05,3.26799e-05
4,12.0604,1.00089,2.80072,3.37605,1.25843,0.05586,0.65789,0.15992,0.12894,0.05339,0.64912,0.15666,0.12897,0.51402,1.5369,3.26305,0.95111,4.85247e-05,4.85247e-05,4.85247e-05
5,15.2404,0.88697,2.38992,3.2406,1.15846,0.05956,0.67544,0.19541,0.17426,0.05956,0.67544,0.19545,0.17261,0.506,1.38165,3.25188,0.94135,6.40395e-05,6.40395e-05,6.40395e-05
6,18.6099,0.78917,2.19476,3.15713,1.14585,0.07081,0.7193,0.2278,0.20561,0.06844,0.71053,0.22433,0.20378,0.51092,1.36808,3.2447,0.92908,7.92242e-05,7.92242e-05,7.92242e-05
7,21.4888,0.79045,1.92376,3.02155,1.08142,0.08062,0.77193,0.28545,0.26979,0.08062,0.77193,0.2871,0.26421,0.52707,1.27898,3.23004,0.92327,9.40788e-05,9.40788e-05,9.40788e-05
8,24.5225,0.71045,1.79068,2.94801,1.0835,0.09228,0.82456,0.3237,0.30247,0.09228,0.82456,0.3237,0.29649,0.54637,1.39182,3.22154,0.92069,0.000108603,0.000108603,0.000108603
9,27.6015,0.67389,1.62102,2.93917,0.98403,0.09228,0.82456,0.3237,0.30247,0.09228,0.82456,0.3237,0.29649,0.54637,1.39182,3.22154,0.92069,0.000122798,0.000122798,0.000122798
10,30.2066,0.59915,1.5184,2.62196,0.98157,0.08958,0.82456,0.32382,0.30359,0.08958,0.82456,0.3255,0.29543,0.56597,1.40244,3.1845,0.90795,0.000136662,0.000136662,0.000136662
