epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,137.977,0.6005,1.32903,0.85748,1.09265,0.62103,0.68233,0.62443,0.56807,0.62103,0.68233,0.62786,0.53668,0.55542,1.40631,1.28664,1.04461,0.00125442,0.00125442,0.00125442
27,275.343,0.63001,1.21477,0.75971,0.90238,0.57014,0.7111,0.74334,0.63984,0.56733,0.70968,0.73848,0.61405,0.56533,1.34322,1.04515,0.91776,0.00123791,0.00123791,0.00123791
28,410.715,0.59903,1.06202,0.73699,0.90028,0.85342,0.76943,0.85399,0.77271,0.8516,0.76743,0.84854,0.74419,0.52504,1.20568,0.70762,0.88965,0.00122141,0.00122141,0.00122141
29,555.272,0.65297,1.08407,0.74625,0.89625,0.82863,0.84332,0.88278,0.79387,0.82575,0.84223,0.87992,0.74311,0.5282,1.01375,0.67683,0.87675,0.00120491,0.00120491,0.00120491
30,691.998,0.61483,0.9027,0.66858,0.8962,0.82013,0.8136,0.85712,0.74992,0.81848,0.81327,0.85537,0.75052,0.56808,0.90816,0.71098,0.88847,0.0011884,0.0011884,0.0011884
31,836.434,0.59553,0.89517,0.64655,0.88986,0.83805,0.84618,0.89128,0.81131,0.83789,0.84619,0.88864,0.79368,0.49006,0.84596,0.61249,0.86697,0.0011719,0.0011719,0.0011719
32,983.079,0.57122,0.86581,0.61853,0.89333,0.81672,0.80275,0.85916,0.7956,0.815,0.80162,0.85655,0.76879,0.48435,0.84739,0.70652,0.87352,0.0011554,0.0011554,0.0011554
33,1129.41,0.56884,0.86894,0.60506,0.88866,0.83953,0.86631,0.89765,0.81163,0.83965,0.86719,0.89569,0.77944,0.52245,0.83711,0.63449,0.88763,0.00113889,0.00113889,0.00113889
34,1277.3,0.56155,0.82124,0.6013,0.88847,0.86233,0.8528,0.90284,0.82586,0.86595,0.85152,0.89822,0.78749,0.50196,0.82174,0.60644,0.88431,0.00112239,0.00112239,0.00112239
35,1424.41,0.56452,0.81361,0.59332,0.89321,0.86631,0.8455,0.90647,0.8355,0.86516,0.84436,0.9019,0.79957,0.49749,0.8648,0.59856,0.88154,0.00110589,0.00110589,0.00110589
36,1571.82,0.55299,0.81658,0.5789,0.88332,0.88564,0.84956,0.91611,0.8397,0.88431,0.84807,0.91082,0.81948,0.49325,0.82522,0.58981,0.87768,0.00108938,0.00108938,0.00108938
37,1716.74,0.55483,0.81426,0.58272,0.88638,0.82835,0.85507,0.896,0.82442,0.8272,0.85364,0.89134,0.78354,0.48239,0.79134,0.62049,0.87515,0.00107288,0.00107288,0.00107288
38,1860.95,0.53896,0.80144,0.57158,0.88341,0.85588,0.86006,0.89161,0.82624,0.85473,0.85893,0.88616,0.79498,0.46743,0.79341,0.58156,0.87496,0.00105638,0.00105638,0.00105638
39,2007.56,0.55179,0.84247,0.58044,0.88389,0.87841,0.86401,0.9075,0.83441,0.87191,0.86371,0.90199,0.80765,0.49179,0.76434,0.59613,0.88,0.00103987,0.00103987,0.00103987
40,2153.68,0.54921,0.81987,0.57602,0.88463,0.84961,0.87429,0.90486,0.83647,0.84899,0.87345,0.90111,0.80838,0.47894,0.76423,0.57824,0.87543,0.00102337,0.00102337,0.00102337
41,2301.72,0.53378,0.79294,0.583,0.88717,0.88834,0.86,0.91531,0.85486,0.8871,0.85886,0.90841,0.82603,0.45141,0.71293,0.54953,0.87227,0.00100687,0.00100687,0.00100687
42,2446.58,0.52402,0.77098,0.56971,0.87644,0.84486,0.88621,0.91517,0.84545,0.83893,0.89076,0.91005,0.82395,0.47167,0.73614,0.57609,0.87735,0.000990365,0.000990365,0.000990365
43,2592.66,0.53656,0.79975,0.57953,0.88198,0.8904,0.85498,0.90756,0.84736,0.88855,0.85327,0.90136,0.81849,0.45489,0.72707,0.53921,0.87052,0.000973861,0.000973861,0.000973861
44,2736.31,0.51141,0.74307,0.5649,0.87902,0.86462,0.86346,0.90975,0.84879,0.86277,0.8649,0.90613,0.8228,0.44734,0.74209,0.53542,0.86513,0.000957358,0.000957358,0.000957358
45,2884.09,0.5241,0.78484,0.55755,0.88001,0.87392,0.87281,0.91756,0.85441,0.87167,0.87124,0.91188,0.82584,0.44091,0.73436,0.53181,0.86576,0.000940855,0.000940855,0.000940855
46,3026.41,0.51775,0.76087,0.5484,0.87892,0.87764,0.86459,0.91798,0.85609,0.87566,0.86259,0.91301,0.82563,0.44616,0.72582,0.53115,0.86762,0.000924352,0.000924352,0.000924352
47,3165.45,0.50957,0.7537,0.54256,0.87634,0.86513,0.86781,0.90958,0.85086,0.86508,0.86783,0.90479,0.81952,0.44018,0.72247,0.53018,0.86535,0.000907848,0.000907848,0.000907848
48,3305.69,0.50519,0.73876,0.54009,0.87611,0.87609,0.86206,0.91612,0.85475,0.87575,0.86179,0.91234,0.82787,0.45639,0.73344,0.52036,0.86531,0.000891345,0.000891345,0.000891345
49,3445.94,0.50808,0.73986,0.54339,0.87638,0.87258,0.85571,0.90602,0.84836,0.86935,0.85764,0.90145,0.82404,0.43265,0.7233,0.52912,0.86198,0.000874842,0.000874842,0.000874842
50,3588.44,0.51989,0.78755,0.53942,0.87466,0.89811,0.86073,0.92176,0.86367,0.89601,0.85873,0.91649,0.8302,0.43434,0.69891,0.50721,0.86053,0.000858338,0.000858338,0.000858338
51,3731.19,0.51585,0.76762,0.53023,0.87471,0.88422,0.86044,0.9242,0.85997,0.88238,0.85834,0.92025,0.83562,0.45253,0.74141,0.52229,0.86456,0.000841835,0.000841835,0.000841835
