epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,83.9603,0.52365,1.04417,1.5958,0.88977,0.10281,0.92105,0.44251,0.38557,0.10096,0.91228,0.43744,0.37495,0.64011,1.61748,2.67914,0.87235,0.000207988,0.000207988,0.000207988
30,87.1241,0.60219,1.18297,1.74147,0.94118,0.10281,0.92105,0.44251,0.38557,0.10096,0.91228,0.43744,0.37495,0.64011,1.61748,2.67914,0.87235,0.000205844,0.000205844,0.000205844
31,90.2725,0.66507,1.21577,1.8845,0.9478,0.1043,0.92105,0.49639,0.43729,0.10241,0.91228,0.49115,0.42929,0.64895,1.56739,2.61933,0.87238,0.000203041,0.000203041,0.000203041
32,93.0277,0.56881,1.5335,1.68481,0.90009,0.1043,0.92105,0.49639,0.43729,0.10241,0.91228,0.49115,0.42929,0.64895,1.56739,2.61933,0.87238,0.000199577,0.000199577,0.000199577
33,96.0324,0.70974,1.29214,1.85748,0.9423,0.1043,0.92105,0.49639,0.43729,0.10241,0.91228,0.49115,0.42929,0.64895,1.56739,2.61933,0.87238,0.000195452,0.000195452,0.000195452
34,98.749,0.59107,1.13415,1.58243,0.9605,0.1034,0.92105,0.53694,0.47011,0.11043,0.91228,0.53189,0.46686,0.65748,1.49825,2.56589,0.87658,0.000190668,0.000190668,0.000190668
35,101.859,0.64369,1.33762,1.6967,0.9025,0.1034,0.92105,0.53694,0.47011,0.11043,0.91228,0.53189,0.46686,0.65748,1.49825,2.56589,0.87658,0.000185224,0.000185224,0.000185224
36,104.956,0.64077,1.37041,1.63243,0.91179,0.1034,0.92105,0.53694,0.47011,0.11043,0.91228,0.53189,0.46686,0.65748,1.49825,2.56589,0.87658,0.000179119,0.000179119,0.000179119
37,107.466,0.56307,1.00524,1.64405,0.93964,0.1034,0.92105,0.53694,0.47011,0.11043,0.91228,0.53189,0.46686,0.65748,1.49825,2.56589,0.87658,0.000172354,0.000172354,0.000172354
38,110.531,0.60957,1.2768,1.63298,0.922,0.50605,0.68493,0.53904,0.4667,0.50605,0.68493,0.53509,0.46839,0.66144,1.4655,2.50971,0.88248,0.00016493,0.00016493,0.00016493
39,113.329,0.51395,0.81715,1.23433,0.8985,0.50605,0.68493,0.53904,0.4667,0.50605,0.68493,0.53509,0.46839,0.66144,1.4655,2.50971,0.88248,0.000156845,0.000156845,0.000156845
40,116.304,0.57551,1.18364,1.58278,0.93681,0.50605,0.68493,0.53904,0.4667,0.50605,0.68493,0.53509,0.46839,0.66144,1.4655,2.50971,0.88248,0.0001481,0.0001481,0.0001481
41,118.786,0.58819,1.11526,1.16664,0.85947,0.50605,0.68493,0.53904,0.4667,0.50605,0.68493,0.53509,0.46839,0.66144,1.4655,2.50971,0.88248,0.000138694,0.000138694,0.000138694
42,121.312,0.67561,1.15191,1.23307,0.96804,0.61804,0.52881,0.56223,0.49975,0.61804,0.52881,0.56471,0.49359,0.65372,1.50017,2.44438,0.88129,0.000128629,0.000128629,0.000128629
43,123.828,0.58667,1.23418,1.24037,0.88485,0.61804,0.52881,0.56223,0.49975,0.61804,0.52881,0.56471,0.49359,0.65372,1.50017,2.44438,0.88129,0.000117904,0.000117904,0.000117904
44,126.469,0.56893,1.10328,1.16315,0.88442,0.61804,0.52881,0.56223,0.49975,0.61804,0.52881,0.56471,0.49359,0.65372,1.50017,2.44438,0.88129,0.000106518,0.000106518,0.000106518
45,129.021,0.5961,0.91631,1.16762,0.94362,0.61804,0.52881,0.56223,0.49975,0.61804,0.52881,0.56471,0.49359,0.65372,1.50017,2.44438,0.88129,9.44722e-05,9.44722e-05,9.44722e-05
46,131.523,0.596,1.06334,1.29585,0.97679,0.65933,0.45322,0.58438,0.52559,0.65933,0.45322,0.58689,0.51725,0.63828,1.62333,2.3864,0.87813,8.17663e-05,8.17663e-05,8.17663e-05
47,134.052,0.56458,0.97598,1.14651,0.89176,0.65933,0.45322,0.58438,0.52559,0.65933,0.45322,0.58689,0.51725,0.63828,1.62333,2.3864,0.87813,6.84003e-05,6.84003e-05,6.84003e-05
48,136.41,0.61805,1.07154,1.21883,0.92073,0.65933,0.45322,0.58438,0.52559,0.65933,0.45322,0.58689,0.51725,0.63828,1.62333,2.3864,0.87813,5.43742e-05,5.43742e-05,5.43742e-05
49,138.893,0.50663,1.02231,1.19416,0.89672,0.65933,0.45322,0.58438,0.52559,0.65933,0.45322,0.58689,0.51725,0.63828,1.62333,2.3864,0.87813,3.96879e-05,3.96879e-05,3.96879e-05
50,141.353,0.6739,1.45555,1.20514,0.92005,0.63866,0.3238,0.60543,0.54632,0.63866,0.3238,0.60808,0.53261,0.63064,1.54999,2.3271,0.87825,2.43415e-05,2.43415e-05,2.43415e-05
