epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,151.576,0.61601,1.20544,1.48967,0.95849,0.29254,0.70175,0.40369,0.34357,0.29254,0.70175,0.40369,0.32607,0.69112,1.9144,2.69339,0.96117,0.000205844,0.000205844,0.000205844
45,209.689,0.60267,1.00182,1.11374,1.00397,0.8596,0.17981,0.65071,0.60793,0.8596,0.17981,0.65071,0.57325,0.63303,1.54249,2.38525,0.94337,9.44722e-05,9.44722e-05,9.44722e-05
31,156.739,0.64239,1.13271,1.56258,0.97117,0.53491,0.35965,0.47591,0.39677,0.53491,0.35965,0.47591,0.38261,0.69086,1.87623,2.65329,0.95873,0.000203041,0.000203041,0.000203041
46,214.898,0.59434,1.12107,1.24403,1.026,0.8596,0.17981,0.65071,0.60793,0.8596,0.17981,0.65071,0.57325,0.63303,1.54249,2.38525,0.94337,8.17663e-05,8.17663e-05,8.17663e-05
32,161.702,0.58133,1.32038,1.45676,0.93775,0.53491,0.35965,0.47591,0.39677,0.53491,0.35965,0.47591,0.38261,0.69086,1.87623,2.65329,0.95873,0.000199577,0.000199577,0.000199577
47,220.045,0.53917,1.02405,1.12356,0.91859,0.85447,0.32078,0.67349,0.62933,0.85447,0.32078,0.67349,0.59382,0.63797,1.53337,2.35619,0.94689,6.84003e-05,6.84003e-05,6.84003e-05
33,166.934,0.73183,1.26261,1.63131,0.97725,0.64171,0.23977,0.50974,0.43807,0.64171,0.23977,0.50974,0.43035,0.68327,1.83995,2.61824,0.95156,0.000195452,0.000195452,0.000195452
48,225.185,0.59053,1.08545,1.09428,0.95852,0.85447,0.32078,0.67349,0.62933,0.85447,0.32078,0.67349,0.59382,0.63797,1.53337,2.35619,0.94689,5.43742e-05,5.43742e-05,5.43742e-05
34,171.787,0.65593,1.07717,1.34187,0.98562,0.64171,0.23977,0.50974,0.43807,0.64171,0.23977,0.50974,0.43035,0.68327,1.83995,2.61824,0.95156,0.000190668,0.000190668,0.000190668
49,230.284,0.49598,0.97602,1.07056,0.90007,0.85787,0.35745,0.68613,0.65489,0.85787,0.35745,0.68613,0.60651,0.64002,1.55972,2.32772,0.94862,3.96879e-05,3.96879e-05,3.96879e-05
35,176.93,0.6767,1.28608,1.46049,0.93685,0.85425,0.17064,0.55954,0.49809,0.85425,0.17064,0.55954,0.47681,0.66753,1.79038,2.57038,0.94402,0.000185224,0.000185224,0.000185224
50,235.273,0.73478,1.33331,1.15271,1.00171,0.85787,0.35745,0.68613,0.65489,0.85787,0.35745,0.68613,0.60651,0.64002,1.55972,2.32772,0.94862,2.43415e-05,2.43415e-05,2.43415e-05
36,182.013,0.61798,1.26225,1.30758,0.90316,0.85425,0.17064,0.55954,0.49809,0.85425,0.17064,0.55954,0.47681,0.66753,1.79038,2.57038,0.94402,0.000179119,0.000179119,0.000179119
37,185.395,0.61272,1.31699,1.5557,0.99983,0.8619,0.18421,0.58451,0.5291,0.8619,0.18421,0.58568,0.50993,0.65051,1.7824,2.52491,0.93735,0.000172354,0.000172354,0.000172354
38,188.98,0.64312,1.14947,1.3366,0.95245,0.8619,0.18421,0.58451,0.5291,0.8619,0.18421,0.58568,0.50993,0.65051,1.7824,2.52491,0.93735,0.00016493,0.00016493,0.00016493
39,192.122,0.58822,0.99958,1.17602,0.95766,0.85971,0.17544,0.59208,0.53816,0.85971,0.17544,0.59208,0.53074,0.63052,1.68348,2.48962,0.9337,0.000156845,0.000156845,0.000156845
40,195.311,0.61463,1.04768,1.35986,0.98616,0.85971,0.17544,0.59208,0.53816,0.85971,0.17544,0.59208,0.53074,0.63052,1.68348,2.48962,0.9337,0.0001481,0.0001481,0.0001481
41,198.351,0.55692,1.04421,1.13494,0.88672,0.87483,0.18389,0.6199,0.55711,0.87483,0.18389,0.61326,0.54995,0.62809,1.6978,2.45458,0.93796,0.000138694,0.000138694,0.000138694
42,201.364,0.67321,1.05149,1.10777,1.00494,0.87483,0.18389,0.6199,0.55711,0.87483,0.18389,0.61326,0.54995,0.62809,1.6978,2.45458,0.93796,0.000128629,0.000128629,0.000128629
43,204.291,0.58294,1.0342,1.11284,0.92683,0.85744,0.17544,0.64285,0.59242,0.85744,0.17544,0.64285,0.56898,0.63604,1.60895,2.41975,0.94411,0.000117904,0.000117904,0.000117904
44,207.114,0.58029,1.02549,1.08278,0.97277,0.85744,0.17544,0.64285,0.59242,0.85744,0.17544,0.64285,0.56898,0.63604,1.60895,2.41975,0.94411,0.000106518,0.000106518,0.000106518
45,209.954,0.60267,1.00182,1.11374,1.00397,0.8596,0.17981,0.65071,0.60793,0.8596,0.17981,0.65071,0.57325,0.63303,1.54249,2.38525,0.94337,9.44722e-05,9.44722e-05,9.44722e-05
46,212.835,0.59434,1.12107,1.24403,1.026,0.8596,0.17981,0.65071,0.60793,0.8596,0.17981,0.65071,0.57325,0.63303,1.54249,2.38525,0.94337,8.17663e-05,8.17663e-05,8.17663e-05
47,215.8,0.53917,1.02405,1.12356,0.91859,0.85447,0.32078,0.67349,0.62933,0.85447,0.32078,0.67349,0.59382,0.63797,1.53337,2.35619,0.94689,6.84003e-05,6.84003e-05,6.84003e-05
48,218.608,0.59053,1.08545,1.09428,0.95852,0.85447,0.32078,0.67349,0.62933,0.85447,0.32078,0.67349,0.59382,0.63797,1.53337,2.35619,0.94689,5.43742e-05,5.43742e-05,5.43742e-05
49,221.573,0.49598,0.97602,1.07056,0.90007,0.85787,0.35745,0.68613,0.65489,0.85787,0.35745,0.68613,0.60651,0.64002,1.55972,2.32772,0.94862,3.96879e-05,3.96879e-05,3.96879e-05
50,224.383,0.73478,1.33331,1.15271,1.00171,0.85787,0.35745,0.68613,0.65489,0.85787,0.35745,0.68613,0.60651,0.64002,1.55972,2.32772,0.94862,2.43415e-05,2.43415e-05,2.43415e-05
